"NO","納入先企業Ｃ","納入先事業所Ｃ","納入先名","郵便番号","納入先住所１","納入先住所２","電話番号","配達ルート便Ｃ","ルート名","運送便Ｃ","便名","運賃","受注ＮＯ","受注ＮＯ枝番","状態","商品Ｃ","商品名","ＳＭＣコード","材質Ｃ","材質名","サイズパターン","形状名称","サイズ１","サイズ２","サイズ３","長さ","指示ＮＯ","指示枝番","納期","着日","到着時刻","受注重量","出荷質量","納入先略称","受注員数","出荷員数","更新カウント","溶番","受注納期","工場Ｃ","ルート工場Ｃ","経由出荷フラグ","積込ソート用作業区分","作業区分","積込ソート用作業区分名"
"11","01029","05","オークボコーテツ　株式会社金型材センター","321-0904","栃木県宇都宮市陽東４－６－５　","","028-661-0828","R3","ＭＹ３","","","元払","265J062740","KR","出荷済み ","100","GO4 平  43 x 205 x 55 ","","000108","GO4","03","平","43","205","0","55","265G062740","KR","20260529","","","3.90","3.90","ｵｰｸﾎﾞｺｰﾃﾂ㈱金型材","1","1","5","","05/29","R","R","0","1","1","切断"
"12","01029","05","オークボコーテツ　株式会社金型材センター","321-0904","栃木県宇都宮市陽東４－６－５　","","028-661-0828","R3","ＭＹ３","","","元払","265J062741","KR","出荷済み ","100","GO4 平  38 x 305 x 51 ","","000108","GO4","03","平","38","305","0","51","265G062741","KR","20260529","","","4.80","4.80","ｵｰｸﾎﾞｺｰﾃﾂ㈱金型材","1","1","4","","05/29","R","R","0","1","1","切断"
"13","01029","05","オークボコーテツ　株式会社金型材センター","321-0904","栃木県宇都宮市陽東４－６－５　","","028-661-0828","R3","ＭＹ３","","","元払","265J062742","KR","出荷済み ","100","GO4 平  53 x 205 x 61 ","","000108","GO4","03","平","53","205","0","61","265G062742","KR","20260529","","","5.40","5.40","ｵｰｸﾎﾞｺｰﾃﾂ㈱金型材","1","1","5","","05/29","R","R","0","1","1","切断"
"14","01029","05","オークボコーテツ　株式会社金型材センター","321-0904","栃木県宇都宮市陽東４－６－５　","","028-661-0828","R3","ＭＹ３","","","元払","265J062743","KR","未出荷","100","PD613 平  85 x 305 x 77 ","","000307","PD613","03","平","85","305","0","77","265G062743","KR","20260529","","","16","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱金型材","1","0","2","","05/29","R","R","0","9","9",""
"15","01029","05","オークボコーテツ　株式会社金型材センター","321-0904","栃木県宇都宮市陽東４－６－５　","","028-661-0828","R3","ＭＹ３","","","元払","265J062744","KR","未出荷","100","PD613 平  85 x 305 x 75 ","","000307","PD613","03","平","85","305","0","75","265G062744","KR","20260529","","","15.50","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱金型材","1","0","2","","05/29","R","R","0","9","9",""
"16","01029","05","オークボコーテツ　株式会社金型材センター","321-0904","栃木県宇都宮市陽東４－６－５　","","028-661-0828","R3","ＭＹ３","","","元払","265J062745","KR","出荷済み ","100","PD613 平  13 x 155 x 1000 ","","000307","PD613","03","平","13","155","0","1000","265G062745","KR","20260529","","","16.80","16.80","ｵｰｸﾎﾞｺｰﾃﾂ㈱金型材","1","1","4","","05/29","R","R","0","1","1","切断"
"17","01029","05","オークボコーテツ　株式会社金型材センター","321-0904","栃木県宇都宮市陽東４－６－５　","","028-661-0828","R3","ＭＹ３","","","元払","265J062746","KR","出荷済み ","100","NAK55 丸 50 x 2000 ","","000301","NAK55","01","丸","50","0","0","2000","265G062746","KR","20260529","","","31.40","31.40","ｵｰｸﾎﾞｺｰﾃﾂ㈱金型材","1","1","4","","05/29","R","R","0","1","1","切断"
"18","01029","06","オークボコーテツ　株式会社　工機工場","321-0905","栃木県宇都宮市平出工業団地４３","－１５５","028-661-0811","R3","ＭＹ３","","","元払","265J062776","KR","未出荷","100","DCMX 平  22 x 255 x 58 ","","000107","DCMX","03","平","22","255","0","58","265G062776","KR","20260529","","","2.60","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱工機","1","0","3","","05/29","R","R","0","9","9",""
"19","01029","06","オークボコーテツ　株式会社　工機工場","321-0905","栃木県宇都宮市平出工業団地４３","－１５５","028-661-0811","R3","ＭＹ３","","","元払","265J062777","KR","出荷済み ","100","DCMX 平  22 x 305 x 58 ","","000107","DCMX","03","平","22","305","0","58","265G062777","KR","20260529","","","3.20","3.20","ｵｰｸﾎﾞｺｰﾃﾂ㈱工機","1","1","4","","05/29","R","R","0","1","1","切断"
"20","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062750","KR","出荷済み ","100","DHA1 平  61 x 150 x 176 ","","000201","DHA1","03","平","61","150","0","176","265G062750","KR","20260529","","","13","14.60","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","4","","05/29","R","R","0","3","3","特寸"
"21","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062753","KR","出荷済み ","100","DC53 丸 25 x 1000 ","","000106","DC53","01","丸","25","0","0","1000","265G062753","KR","20260529","","","3.90","3.90","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","4","","05/29","R","R","0","1","1","切断"
"22","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062754","KR","出荷済み ","100","DC53 丸 65 x 500 ","","000106","DC53","01","丸","65","0","0","500","265G062754","KR","20260529","","","13.10","13.10","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","5","","05/29","R","R","0","1","1","切断"
"23","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062755","KR","出荷済み ","100","DHA1 丸 80 x 55 ","","000201","DHA1","01","丸","80","0","0","55","265G062755","KR","20260529","","","4.40","4.40","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","2","2","4","","05/29","R","R","0","1","1","切断"
"24","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062756","KR","出荷済み ","100","DHA1 丸 152 x 55 ","","000201","DHA1","01","丸","152","0","0","55","265G062756","KR","20260529","","","7.90","7.90","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","4","","05/29","R","R","0","1","1","切断"
"25","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062757","KR","出荷済み ","100","DHA1 丸 90 x 45 ","","000201","DHA1","01","丸","90","0","0","45","265G062757","KR","20260529","","","2.30","2.30","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","4","","05/29","R","R","0","1","1","切断"
"26","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062758","KR","出荷済み ","100","DC53 平  43 x 355 x 160 ","","000106","DC53","03","平","43","355","0","160","265G062758","KR","20260529","","","19.60","19.60","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","5","","05/29","R","R","0","1","1","切断"
"27","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062759","KR","出荷済み ","100","DC53 平  50 x 355 x 160 ","","000106","DC53","03","平","50","355","0","160","265G062759","KR","20260529","","","22.70","22.70","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","6","","05/29","R","R","0","1","1","切断"
"28","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062766","KR","出荷済み ","100","YK30 平  32 x 255 x 229 ","","000101","YK30","03","平","32","255","0","229","265G062766","KR","20260529","","","15.10","15.10","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","5","","05/29","R","R","0","1","1","切断"
"29","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062767","KR","出荷済み ","100","DH2F 丸 36 x 420 ","","000205","DH2F","01","丸","36","0","0","420","265G062767","KR","20260529","","","3.40","3.40","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","4","","05/29","R","R","0","1","1","切断"
"30","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062768","KR","出荷済み ","100","GO31V 丸 130 x 77 ","","000102","GO31V","01","丸","130","0","0","77","265G062768","KR","20260529","","","16.40","16.40","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","2","2","4","","05/29","R","R","0","1","1","切断"
"31","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062769","KR","出荷済み ","100","YK30 丸 25 x 700 ","","000101","YK30","01","丸","25","0","0","700","265G062769","KR","20260529","","","2.70","2.70","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","4","","05/29","R","R","0","1","1","切断"
"32","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062770","KR","出荷済み ","100","SKD11 丸 85 x 15 ","","000105","SKD11","01","丸","85","0","0","15","265G062770","KR","20260529","","","0.70","0.70","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","4","","05/29","R","R","0","1","1","切断"
"33","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062771","KR","出荷済み ","100","YK30 平  25 x 255 x 805 ","","000101","YK30","03","平","25","255","0","805","265G062771","KR","20260529","","","41.70","41.70","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","5","","05/29","R","R","0","1","1","切断"
"34","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062772","KR","出荷済み ","100","YK30 平  38 x 255 x 805 ","","000101","YK30","03","平","38","255","0","805","265G062772","KR","20260529","","","62.90","62.90","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","5","","05/29","R","R","0","1","1","切断"
"35","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062773","KR","出荷済み ","100","DC53 平  25 x 255 x 805 ","","000106","DC53","03","平","25","255","0","805","265G062773","KR","20260529","","","41.50","41.50","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","5","","05/29","R","R","0","1","1","切断"
"36","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062774","KR","出荷済み ","100","DC53 平  25 x 155 x 690 ","","000106","DC53","03","平","25","155","0","690","265G062774","KR","20260529","","","21.70","21.70","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","5","","05/29","R","R","0","1","1","切断"
"37","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062775","KR","出荷済み ","100","DC53 平  38 x 255 x 805 ","","000106","DC53","03","平","38","255","0","805","265G062775","KR","20260529","","","62.50","62.50","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","5","","05/29","R","R","0","1","1","切断"
"38","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062781","KR","出荷済み ","100","GO31V 丸 32 x 369 ","","000102","GO31V","01","丸","32","0","0","369","265G062781","KR","20260529","","","2.40","2.40","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","3","","05/29","R","R","0","1","1","切断"
"39","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062782","KR","出荷済み ","100","NAK55 丸 50 x 1000 ","","000301","NAK55","01","丸","50","0","0","1000","265G062782","KR","20260529","","","31.40","31.40","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","2","2","3","","05/29","R","R","0","1","1","切断"
"40","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062783","KR","出荷済み ","100","DC53 丸 42 x 1000 ","","000106","DC53","01","丸","42","0","0","1000","265G062783","KR","20260529","","","11.10","11.10","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","3","","05/29","R","R","0","1","1","切断"
"41","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062784","KR","出荷済み ","100","SKD11 丸 28 x 70 ","","000105","SKD11","01","丸","28","0","0","70","265G062784","KR","20260529","","","1.50","1.50","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","5","5","3","","05/29","R","R","0","1","1","切断"
"42","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062785","KR","未出荷","100","DHA1 丸 50 x 650 ","","000201","DHA1","01","丸","50","0","0","650","265G062785","KR","20260529","","","121.20","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","12","0","2","","05/29","R","R","0","9","9",""
"43","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062799","KR","未出荷","100","NAK55 丸 232 x 40 ","","000301","NAK55","01","丸","232","0","0","40","265G062799","KR","20260529","","","13.40","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","0","2","","05/29","R","R","0","9","9",""
"44","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062800","KR","未出荷","100","DCMX 丸 75 x 151 ","","000107","DCMX","01","丸","75","0","0","151","265G062800","KR","20260529","","","5.30","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","0","2","","05/29","R","R","0","9","9",""
"45","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062801","KR","未出荷","100","DCMX 丸 80 x 30 ","","000107","DCMX","01","丸","80","0","0","30","265G062801","KR","20260529","","","1.20","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","0","3","","05/29","R","R","0","9","9",""
"46","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062802","KR","未出荷","100","PD613 丸 55 x 103 ","","000307","PD613","01","丸","55","0","0","103","265G062802","KR","20260529","","","1.90","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","0","2","","05/29","R","R","0","9","9",""
"47","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062803","KR","未出荷","100","PD613 丸 55 x 103 ","","000307","PD613","01","丸","55","0","0","103","265G062803","KR","20260529","","","1.90","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","0","2","","05/29","R","R","0","9","9",""
"48","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062804","KR","未出荷","100","PD613 丸 55 x 103 ","","000307","PD613","01","丸","55","0","0","103","265G062804","KR","20260529","","","1.90","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","0","2","","05/29","R","R","0","9","9",""
"49","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062805","KR","未出荷","100","PD613 丸 55 x 103 ","","000307","PD613","01","丸","55","0","0","103","265G062805","KR","20260529","","","1.90","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","0","2","","05/29","R","R","0","9","9",""
"50","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062806","KR","未出荷","100","PD613 丸 36 x 47 ","","000307","PD613","01","丸","36","0","0","47","265G062806","KR","20260529","","","0.40","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","0","2","","05/29","R","R","0","9","9",""
"51","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062807","KR","未出荷","100","PD613 丸 36 x 47 ","","000307","PD613","01","丸","36","0","0","47","265G062807","KR","20260529","","","0.40","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","0","2","","05/29","R","R","0","9","9",""
"52","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062808","KR","未出荷","100","PD613 丸 36 x 47 ","","000307","PD613","01","丸","36","0","0","47","265G062808","KR","20260529","","","0.40","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","0","2","","05/29","R","R","0","9","9",""
"53","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062809","KR","未出荷","100","PD613 丸 36 x 47 ","","000307","PD613","01","丸","36","0","0","47","265G062809","KR","20260529","","","0.40","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","0","2","","05/29","R","R","0","9","9",""
"54","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062810","KR","出荷済み ","100","DHA1 丸 122 x 25 ","","000201","DHA1","01","丸","122","0","0","25","265G062810","KR","20260529","","","2.30","2.30","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","5","","05/29","R","R","0","1","1","切断"
"55","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062811","KR","出荷済み ","100","DHA1 丸 122 x 25 ","","000201","DHA1","01","丸","122","0","0","25","265G062811","KR","20260529","","","2.30","2.30","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","1","5","","05/29","R","R","0","1","1","切断"
"56","01029","07","オークボコーテツ　株式会社　東工場","321-0905","栃木県宇都宮市平出工業団地４３","－１６０","028-661-0811","R3","ＭＹ３","","","元払","265J062812","KR","未出荷","100","GOA 平  27 x 305 x 33 ","","000103","GOA","03","平","27","305","0","33","265G062812","KR","20260529","","","2.20","0","ｵｰｸﾎﾞｺｰﾃﾂ㈱東工場","1","0","3","","05/29","R","R","0","9","9",""
"57","01029","09","オークボコーテツ㈱ 金型材センター（進恵","","栃木県宇都宮市陽東４－６－５","","028-668-0828","R3","ＭＹ３","","","元払","265J062816","KR","出荷済み ","100","SKD11 平  32 x 185 x 1000 ","","000105","SKD11","03","平","32","185","0","1000","265G062816","KR","20260529","","","47.80","47.80","ｵｰｸﾎﾞｺｰﾃﾂ㈱　進恵","1","1","5","","05/29","R","R","0","1","1","切断"
"58","01029","09","オークボコーテツ㈱ 金型材センター（進恵","","栃木県宇都宮市陽東４－６－５","","028-668-0828","R3","ＭＹ３","","","元払","265J062817","KR","出荷済み ","100","SKD11 平  27 x 185 x 1000 ","","000105","SKD11","03","平","27","185","0","1000","265G062817","KR","20260529","","","40.50","40.50","ｵｰｸﾎﾞｺｰﾃﾂ㈱　進恵","1","1","5","","05/29","R","R","0","1","1","切断"
"59","01091","28","三五金属　株式会社","210-0854","神奈川県川崎市川崎区浅野町６－","１３","044-344-7125","R5","ＭＹ５","","","","265J030510","KR","出荷済み ","100","NAK55 丸 19 x 4000 ","","000301","NAK55","01","丸","19","0","0","4000","265G030510","KR","20260529","","","9.10","9.10","三五金属㈱","1","1","4","","05/29","R","R","0","0","0","定尺"
"60","01167","21","ノボル鋼鉄　株式会社　２番倉庫","144-0033","東京都大田区東糀谷6-4-15　　","","03-3743-3381","R5","ＭＹ５","","","元払","265J062788","KR","出荷済み ","100","NAK55 丸 75 x  L","","000301","NAK55","01","丸","75","0","0","0","265G062788","KR","20260529","","","158.10","151","ノボル鋼鉄㈱２番倉庫","1","1","3","","05/29","R","R","0","0","0","定尺"
"61","04302","03","小野商鋼　株式会社","143-0012","東京都大田区大森東４－２８－３"," ","03-5493-8031","R5","ＭＹ５","","","元払","265J062648","KR","出荷済み ","100","DC53 丸 40 x 762 ","","000106","DC53","01","丸","40","0","0","762","265G062648","KR","20260529","","","7.70","7.70","小野商鋼㈱","1","1","4","","05/29","R","R","0","1","1","切断"
"62","06020","02","北村ハガネ　株式会社","144-0033","東京都大田区東糀谷5－12－2"," ","03-3745-2323","R5","ＭＹ５","","","元払","265J062716","KR","出荷済み ","100","NAK55 丸 42 x 480 ﾉﾓﾉ","","000301","NAK55","01","丸","42","0","0","480","265G062716","KR","20260529","","","5.30","5.30","北村ハガネ㈱","1","1","4","","05/29","R","R","0","4","4","残材"
"63","06348","01","大森鋼鉄　株式会社","143-0014","東京都大田区大森中１－１４－６"," ","03-3763-8211","R5","ＭＹ５","","","元払","265J062760","KR","出荷済み ","100","DCMX 平  43 x 255 x 985 ","","000107","DCMX","03","平","43","255","0","985","265G062760","KR","20260529","","","86.40","86.40","大森鋼鉄㈱","1","1","4","","05/29","R","R","0","1","1","切断"
"64","04318","05","藤井ハガネ　株式会社","114-0011","東京都北区昭和町１ー３ー５"," ","03-3893-4326","R6","ＭＹ６","","","元払","265J062653","KR","出荷済み ","100","DC53 丸 122 x 21 ","","000106","DC53","01","丸","122","0","0","21","265G062653","KR","20260529","","","1.90","1.90","藤井ハガネ㈱","1","1","4","","05/29","R","R","0","1","1","切断"
"65","06211","01","有限会社　藤田精機","116-0001","東京都荒川区町屋６－２６－１３"," ","03-3892-7886","R6","ＭＹ６","","","元払","265J040478","KR","出荷済み ","100","SUS303 六角  12 x 1500 ","","000501","SUS303","04","六角","12","0","0","1500","265G040478","KR","20260529","","","23.80","23.80","㈲藤田精機","16","16","3","","05/29","R","R","0","8","8",""
